Date,basf
11/2/2023,38.55928421
11/3/2023,38.8693924
11/6/2023,38.24032211
11/7/2023,38.51941299
11/8/2023,38.60801697
11/9/2023,39.4098587
11/10/2023,38.73205948
11/13/2023,39.05988312
11/14/2023,39.64908218
11/15/2023,39.9104538
11/16/2023,38.9225502
11/17/2023,39.23708344
11/20/2023,39.16620636
11/21/2023,38.81623077
11/22/2023,38.73649216
11/23/2023,38.81623077
11/24/2023,39.49846268
11/27/2023,38.27133179
11/28/2023,37.83718491
11/29/2023,38.07640839
11/30/2023,37.81946564
12/1/2023,38.31120682
12/4/2023,38.46182632
12/5/2023,38.6301651
12/6/2023,39.37441635
12/7/2023,39.95475769
12/8/2023,40.03892517
12/11/2023,40.25157166
12/12/2023,40.38890076
12/13/2023,42.17864609
12/14/2023,42.652668
12/15/2023,42.68367767
12/18/2023,42.76784515
12/19/2023,43.02922058
12/20/2023,42.92733383
12/21/2023,42.9450531
12/22/2023,43.00707245
12/27/2023,43.10453415
12/28/2023,43.04251099
12/29/2023,43.21971512
1/2/2024,43.47665787
1/3/2024,42.315979
1/4/2024,42.25839233
1/5/2024,41.46540833
1/8/2024,41.42554092
1/9/2024,40.32244873
1/10/2024,39.88830566
1/11/2024,39.71996689
1/12/2024,39.67565918
1/15/2024,39.44972992
1/16/2024,39.21050644
1/17/2024,38.24032211
1/18/2024,38.68332672
1/19/2024,38.14286041
1/22/2024,37.93464661
1/23/2024,38.64788437
1/24/2024,38.78964615
1/25/2024,39.83071518
1/26/2024,40.45092392
1/29/2024,39.92374802
1/30/2024,39.40099716
1/31/2024,39.39213562
2/1/2024,39.10417938
2/2/2024,39.58706284
2/5/2024,39.52060699
2/6/2024,40.18068695
2/7/2024,39.5073204
2/8/2024,39.60921478
2/9/2024,39.00229263
2/12/2024,39.71110535
2/13/2024,39.92374802
2/14/2024,40.37561035
2/15/2024,40.83190918
2/16/2024,41.27934647
2/19/2024,40.55724716
2/20/2024,40.79646683
2/21/2024,41.11543274
2/22/2024,41.50527954
2/23/2024,41.28820419
2/26/2024,41.04898453
2/27/2024,42.04574966
2/28/2024,41.61603165
2/29/2024,41.70906448
3/1/2024,42.51533508
3/4/2024,41.73121262
3/5/2024,41.86411285
3/6/2024,42.99821091
3/7/2024,43.46779633
3/8/2024,43.24186707
3/11/2024,43.46779633
3/12/2024,43.85764313
3/13/2024,43.93738556
3/14/2024,43.24186707
